"is"	"becomes"
"786"	3371	3
"787"	3372	2
"788"	3373	3
"789"	3374	3
"790"	3375	3
"791"	3377	3
"792"	3411	3
"793"	3412	2
"794"	3413	3
"795"	3414	3
"796"	3415	3
"797"	3417	3
"798"	3421	2
"799"	3422	2
"800"	3423	2
"801"	3424	2
"802"	3425	2
"803"	3427	2
"804"	3431	3
"805"	3432	2
"806"	3433	3
"807"	3434	3
"808"	3435	3
"809"	3437	3
"810"	3441	3
"811"	3442	2
"812"	3443	3
"813"	3444	4
"814"	3445	3
"815"	3447	3
"816"	3451	3
"817"	3452	2
"818"	3453	3
"819"	3454	3
"820"	3455	3
"821"	3457	3
"822"	3471	3
"823"	3472	2
"824"	3473	3
"825"	3474	3
"826"	3475	3
"827"	3477	3
"828"	3511	3
"829"	3512	2
"830"	3513	3
"831"	3514	3
"832"	3515	3
"833"	3517	3
"834"	3521	2
"835"	3522	2
"836"	3523	2
"837"	3524	2
"838"	3525	2
"839"	3527	2
"840"	3531	3
"841"	3532	2
"842"	3533	3
"843"	3534	3
"844"	3535	3
"845"	3537	3
"846"	3541	3
"847"	3542	2
"848"	3543	3
"849"	3544	3
"850"	3545	3
"851"	3547	3
"852"	3551	3
"853"	3552	2
"854"	3553	3
"855"	3554	3
"856"	3555	5
"857"	3557	3
"858"	3571	3
"859"	3572	2
"860"	3573	3
"861"	3574	3
"862"	3575	3
"863"	3577	3
"864"	3711	3
"865"	3712	2
"866"	3713	3
"867"	3714	3
"868"	3715	3
"869"	3717	3
"870"	3721	2
"871"	3722	2
"872"	3723	2
"873"	3724	2
"874"	3725	2
"875"	3727	2
"876"	3731	3
"877"	3732	2
"878"	3733	3
"879"	3734	3
"880"	3735	3
"881"	3737	3
"882"	3741	3
"883"	3742	2
"884"	3743	3
"885"	3744	3
"886"	3745	3
"887"	3747	3
"888"	3751	3
"889"	3752	2
"890"	3753	3
"891"	3754	3
"892"	3755	3
"893"	3757	3
"894"	3771	3
"895"	3772	2
"896"	3773	3
"897"	3774	3
"898"	3775	3
"899"	3777	7
"900"	4111	1
"901"	4112	2
"902"	4113	3
"903"	4114	1
"904"	4115	99
"905"	4117	99
"906"	4121	1
"907"	4122	2
"908"	4123	1
"909"	4124	4
"910"	4125	1
"911"	4127	1
"912"	4131	3
"913"	4132	2
"914"	4133	3
"915"	4134	3
"916"	4135	3
"917"	4141	1
"918"	4142	2
"919"	4143	3
"920"	4144	4
"921"	4145	99
"922"	4147	99
"923"	4151	99
"924"	4152	2
"925"	4153	3
"926"	4154	99
"927"	4155	99
"928"	4157	99
"929"	4171	99
"930"	4174	99
"931"	4175	99
"932"	4177	99
"933"	4211	1
"934"	4212	2
"935"	4213	1
"936"	4214	4
"937"	4215	1
"938"	4217	1
"939"	4221	2
"940"	4222	2
"941"	4223	2
"942"	4224	2
"943"	4225	2
"944"	4227	2
"945"	4231	1
"946"	4232	2
"947"	4233	3
"948"	4234	4
"949"	4235	2
"950"	4237	2
"951"	4241	4
"952"	4242	2
"953"	4243	4
"954"	4244	4
"955"	4245	4
"956"	4247	4
"957"	4251	1
"958"	4252	2
"959"	4253	2
"960"	4254	4
"961"	4255	5
"962"	4257	2
"963"	4272	2
"964"	4273	2
"965"	4274	4
"966"	4275	2
"967"	4277	7
"968"	4311	3
"969"	4312	2
"970"	4313	3
"971"	4314	3
"972"	4315	3
"973"	4317	3
"974"	4321	1
"975"	4322	2
"976"	4323	3
"977"	4324	4
"978"	4325	2
"979"	4327	2
"980"	4331	3
"981"	4332	2
"982"	4333	3
"983"	4334	3
"984"	4335	3
"985"	4337	3
"986"	4341	3
"987"	4342	2
"988"	4343	3
"989"	4344	4
"990"	4345	3
"991"	4347	3
"992"	4351	3
"993"	4352	2
"994"	4353	3
"995"	4354	3
"996"	4355	3
"997"	4357	3
"998"	4371	3
"999"	4372	2
"1000"	4373	3
"1001"	4374	3
"1002"	4375	3
"1003"	4377	3
"1004"	4411	1
"1005"	4412	2
"1006"	4413	3
"1007"	4414	4
"1008"	4415	99
"1009"	4417	99
"1010"	4421	4
"1011"	4422	2
"1012"	4423	4
"1013"	4424	4
"1014"	4425	4
"1015"	4427	4
"1016"	4431	3
"1017"	4432	2
"1018"	4433	3
"1019"	4434	4
"1020"	4435	3
"1021"	4437	3
"1022"	4441	4
"1023"	4442	4
"1024"	4443	4
"1025"	4444	4
"1026"	4445	4
"1027"	4447	4
"1028"	4451	99
"1029"	4452	2
"1030"	4453	3
"1031"	4454	4
"1032"	4455	4
"1033"	4457	4
"1034"	4471	99
"1035"	4472	2
"1036"	4473	3
"1037"	4474	4
"1038"	4475	4
"1039"	4477	4
"1040"	4511	99
"1041"	4512	2
"1042"	4513	3
"1043"	4514	99
"1044"	4515	99
"1045"	4517	99
"1046"	4521	1
"1047"	4522	2
"1048"	4523	2
"1049"	4524	4
"1050"	4525	5
"1051"	4527	2
"1052"	4531	3
"1053"	4532	2
"1054"	4533	3
"1055"	4534	3
"1056"	4535	3
"1057"	4537	3
"1058"	4541	99
"1059"	4542	2
"1060"	4543	3
"1061"	4544	4
"1062"	4545	4
"1063"	4547	4
"1064"	4551	99
"1065"	4552	2
"1066"	4553	3
"1067"	4554	4
"1068"	4555	5
"1069"	4557	5
"1070"	4571	99
"1071"	4572	2
"1072"	4573	3
"1073"	4574	4
"1074"	4575	5
"1075"	4577	7
"1076"	4711	99
"1077"	4712	2
"1078"	4713	3
